STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
MXM00076903,"TAPACHULA CHIS, MX",5/29/00,0,87,95,72
MXM00076903,"TAPACHULA CHIS, MX",5/30/00,0,82,93,72
MXM00076903,"TAPACHULA CHIS, MX",5/31/00,0.2,77,95,73
MXM00076903,"TAPACHULA CHIS, MX",6/1/00,0.01,82,,
MXM00076903,"TAPACHULA CHIS, MX",6/2/00,0,84,,
MXM00076903,"TAPACHULA CHIS, MX",6/3/00,0,84,95,74
MXM00076903,"TAPACHULA CHIS, MX",6/4/00,,83,95,74
MXM00076903,"TAPACHULA CHIS, MX",6/5/00,0,84,95,74
MXM00076903,"TAPACHULA CHIS, MX",6/6/00,0.46,80,93,73
MXM00076903,"TAPACHULA CHIS, MX",6/27/00,0.1,79,90,73
MXM00076903,"TAPACHULA CHIS, MX",6/28/00,0.01,82,92,74
MXM00076903,"TAPACHULA CHIS, MX",6/29/00,0.64,81,,
MXM00076903,"TAPACHULA CHIS, MX",6/30/00,0,82,95,72
MXM00076903,"TAPACHULA CHIS, MX",7/1/00,0.02,80,98,72
MXM00076903,"TAPACHULA CHIS, MX",7/2/00,1.51,80,94,71
MXM00076903,"TAPACHULA CHIS, MX",7/3/00,0,88,95,71
MXM00076903,"TAPACHULA CHIS, MX",7/4/00,0,79,95,71
MXM00076903,"TAPACHULA CHIS, MX",7/5/00,0.46,82,,
MXM00076903,"TAPACHULA CHIS, MX",7/6/00,0.01,83,96,73
MXM00076903,"TAPACHULA CHIS, MX",7/7/00,0.05,83,95,73
MXM00076903,"TAPACHULA CHIS, MX",7/8/00,0,82,95,75
MXM00076903,"TAPACHULA CHIS, MX",7/9/00,0.34,80,96,72
MXM00076903,"TAPACHULA CHIS, MX",7/10/00,0.15,80,94,72
MXM00076903,"TAPACHULA CHIS, MX",7/11/00,0,85,,
MXM00076903,"TAPACHULA CHIS, MX",7/12/00,0,84,96,73
MXM00076903,"TAPACHULA CHIS, MX",7/13/00,,83,96,73
MXM00076903,"TAPACHULA CHIS, MX",7/14/00,0,82,95,75
MXM00076903,"TAPACHULA CHIS, MX",7/15/00,0.06,83,96,73
MXM00076903,"TAPACHULA CHIS, MX",7/16/00,0.02,82,97,73
MXM00076903,"TAPACHULA CHIS, MX",7/17/00,0.02,81,97,73
MXM00076903,"TAPACHULA CHIS, MX",7/18/00,0.31,78,96,72
MXM00076903,"TAPACHULA CHIS, MX",7/19/00,0.08,81,95,71
MXM00076903,"TAPACHULA CHIS, MX",7/20/00,0,82,94,71
MXM00076903,"TAPACHULA CHIS, MX",7/21/00,0,82,94,73
MXM00076903,"TAPACHULA CHIS, MX",7/22/00,0.01,78,92,73
MXM00076903,"TAPACHULA CHIS, MX",7/23/00,0,82,92,73
MXM00076903,"TAPACHULA CHIS, MX",7/24/00,2.44,79,92,72
MXM00076903,"TAPACHULA CHIS, MX",7/25/00,2.6,80,93,72
MXM00076903,"TAPACHULA CHIS, MX",7/26/00,0.02,80,95,73
MXM00076903,"TAPACHULA CHIS, MX",7/27/00,0,82,96,73
MXM00076903,"TAPACHULA CHIS, MX",7/28/00,0.03,79,95,72
MXM00076903,"TAPACHULA CHIS, MX",7/29/00,0.28,78,88,70
MXM00076903,"TAPACHULA CHIS, MX",7/30/00,0.89,78,92,70
MXM00076903,"TAPACHULA CHIS, MX",7/31/00,0,80,92,72
MXM00076903,"TAPACHULA CHIS, MX",8/1/00,0.26,78,94,70
MXM00076903,"TAPACHULA CHIS, MX",8/2/00,0.09,78,89,70
MXM00076903,"TAPACHULA CHIS, MX",8/3/00,0.3,81,92,72
MXM00076903,"TAPACHULA CHIS, MX",8/4/00,1.27,77,93,72
MXM00076903,"TAPACHULA CHIS, MX",8/5/00,0,81,,
MXM00076903,"TAPACHULA CHIS, MX",8/6/00,2.14,81,93,73
MXM00076903,"TAPACHULA CHIS, MX",8/7/00,0.09,80,,
MXM00076903,"TAPACHULA CHIS, MX",8/8/00,0.15,79,93,73
MXM00076903,"TAPACHULA CHIS, MX",8/9/00,3.41,78,92,73
MXM00076903,"TAPACHULA CHIS, MX",8/10/00,0.99,78,88,73
MXM00076903,"TAPACHULA CHIS, MX",8/11/00,0.02,80,89,73
MXM00076903,"TAPACHULA CHIS, MX",8/12/00,0,80,92,73
MXM00076903,"TAPACHULA CHIS, MX",8/13/00,0.04,80,,
MXM00076903,"TAPACHULA CHIS, MX",8/14/00,0,85,95,72
MXM00076903,"TAPACHULA CHIS, MX",8/15/00,0.39,79,94,72
MXM00076903,"TAPACHULA CHIS, MX",8/16/00,0,82,93,73
MXM00076903,"TAPACHULA CHIS, MX",8/17/00,0,82,94,73
MXM00076903,"TAPACHULA CHIS, MX",8/18/00,0,83,96,73
MXM00076903,"TAPACHULA CHIS, MX",8/19/00,1.64,78,95,70
MXM00076903,"TAPACHULA CHIS, MX",8/20/00,0,82,94,70
MXM00076903,"TAPACHULA CHIS, MX",8/21/00,1.08,81,93,75
MXM00076903,"TAPACHULA CHIS, MX",8/22/00,0,84,95,73
MXM00076903,"TAPACHULA CHIS, MX",8/23/00,0.01,80,96,72
MXM00076903,"TAPACHULA CHIS, MX",8/24/00,0.01,83,96,72
MXM00076903,"TAPACHULA CHIS, MX",8/25/00,0,82,97,74
MXM00076903,"TAPACHULA CHIS, MX",8/29/00,0.1,83,91,74
MXM00076903,"TAPACHULA CHIS, MX",8/30/00,0.52,77,94,74
