STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
ES003800510,"SAN SALVADOR ILOPAN, ES",4/2/00,,79,93,62
ES003800510,"SAN SALVADOR ILOPAN, ES",4/3/00,,78,93,62
ES003800510,"SAN SALVADOR ILOPAN, ES",4/4/00,,82,,
ES003800510,"SAN SALVADOR ILOPAN, ES",4/5/00,,79,93,65
ES003800510,"SAN SALVADOR ILOPAN, ES",4/6/00,,76,89,59
ES003800510,"SAN SALVADOR ILOPAN, ES",4/7/00,,78,93,60
ES003800510,"SAN SALVADOR ILOPAN, ES",4/8/00,,80,,
ES003800510,"SAN SALVADOR ILOPAN, ES",4/9/00,,81,96,65
ES003800510,"SAN SALVADOR ILOPAN, ES",4/10/00,,79,94,65
ES003800510,"SAN SALVADOR ILOPAN, ES",4/11/00,,80,95,64
ES003800510,"SAN SALVADOR ILOPAN, ES",4/12/00,,79,90,65
ES003800510,"SAN SALVADOR ILOPAN, ES",4/13/00,,79,89,67
ES003800510,"SAN SALVADOR ILOPAN, ES",4/14/00,,75,88,66
ES003800510,"SAN SALVADOR ILOPAN, ES",4/15/00,0.01,72,88,63
ES003800510,"SAN SALVADOR ILOPAN, ES",4/16/00,0,78,,
ES003800510,"SAN SALVADOR ILOPAN, ES",4/17/00,,80,,
ES003800510,"SAN SALVADOR ILOPAN, ES",4/18/00,,76,93,64
ES003800510,"SAN SALVADOR ILOPAN, ES",4/19/00,,76,92,62
ES003800510,"SAN SALVADOR ILOPAN, ES",4/20/00,,79,91,62
ES003800510,"SAN SALVADOR ILOPAN, ES",4/21/00,,79,,
ES003800510,"SAN SALVADOR ILOPAN, ES",4/22/00,,79,91,67
ES003800510,"SAN SALVADOR ILOPAN, ES",4/23/00,,79,93,64
ES003800510,"SAN SALVADOR ILOPAN, ES",4/24/00,,79,88,64
ES003800510,"SAN SALVADOR ILOPAN, ES",4/25/00,,80,,
ES003800510,"SAN SALVADOR ILOPAN, ES",4/26/00,,79,92,67
ES003800510,"SAN SALVADOR ILOPAN, ES",4/27/00,,78,96,67
ES003800510,"SAN SALVADOR ILOPAN, ES",4/28/00,,81,93,66
ES003800510,"SAN SALVADOR ILOPAN, ES",4/29/00,,80,93,67
ES003800510,"SAN SALVADOR ILOPAN, ES",4/30/00,,79,90,67
ES003800510,"SAN SALVADOR ILOPAN, ES",5/1/00,0.01,76,90,65
ES003800510,"SAN SALVADOR ILOPAN, ES",5/2/00,0,79,89,63
ES003800510,"SAN SALVADOR ILOPAN, ES",5/3/00,0.04,77,90,63
ES003800510,"SAN SALVADOR ILOPAN, ES",5/4/00,0,76,88,64
ES003800510,"SAN SALVADOR ILOPAN, ES",5/5/00,,76,90,65
ES003800510,"SAN SALVADOR ILOPAN, ES",5/6/00,,77,86,68
ES003800510,"SAN SALVADOR ILOPAN, ES",5/7/00,,75,89,68
ES003800510,"SAN SALVADOR ILOPAN, ES",5/8/00,0.15,74,81,70
ES003800510,"SAN SALVADOR ILOPAN, ES",5/9/00,0,76,,
ES003800510,"SAN SALVADOR ILOPAN, ES",5/10/00,,75,84,69
ES003800510,"SAN SALVADOR ILOPAN, ES",5/11/00,,79,87,70
ES003800510,"SAN SALVADOR ILOPAN, ES",5/12/00,,78,85,71
ES003800510,"SAN SALVADOR ILOPAN, ES",5/13/00,,78,84,71
ES003800510,"SAN SALVADOR ILOPAN, ES",5/14/00,1.27,77,,
ES003800510,"SAN SALVADOR ILOPAN, ES",5/15/00,0.41,76,86,69
