STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
MXM00076658,"COLIMA, MX",4/11/00,0,,85,98,61
MXM00076658,"COLIMA, MX",4/12/00,,,82,,
MXM00076658,"COLIMA, MX",4/13/00,0,,81,98,61
MXM00076658,"COLIMA, MX",4/14/00,0,,76,96,62
MXM00076658,"COLIMA, MX",4/15/00,0,,72,88,58
MXM00076658,"COLIMA, MX",4/16/00,0,,80,,
MXM00076658,"COLIMA, MX",4/17/00,,,85,,
MXM00076658,"COLIMA, MX",4/18/00,0,,81,99,60
MXM00076658,"COLIMA, MX",4/19/00,0,,83,96,61
MXM00076658,"COLIMA, MX",4/20/00,,,82,,
MXM00076658,"COLIMA, MX",4/21/00,,,80,92,61
MXM00076658,"COLIMA, MX",4/22/00,0,,83,95,61
MXM00076658,"COLIMA, MX",4/23/00,0,,82,100,63
MXM00076658,"COLIMA, MX",4/24/00,,,82,89,61
MXM00076658,"COLIMA, MX",4/25/00,,,75,,
MXM00076658,"COLIMA, MX",4/26/00,0,,80,92,64
MXM00076658,"COLIMA, MX",4/27/00,0,,84,,
MXM00076658,"COLIMA, MX",4/28/00,,,83,100,64
MXM00076658,"COLIMA, MX",4/29/00,,,82,96,65
MXM00076658,"COLIMA, MX",4/30/00,,,81,,
MXM00076658,"COLIMA, MX",5/1/00,,,83,,
MXM00076658,"COLIMA, MX",5/2/00,0,,80,,
MXM00076658,"COLIMA, MX",5/3/00,0,,81,93,59
MXM00076658,"COLIMA, MX",5/4/00,,,79,,
MXM00076658,"COLIMA, MX",5/5/00,,,80,,
MXM00076658,"COLIMA, MX",5/6/00,,,81,93,63
MXM00076658,"COLIMA, MX",5/7/00,,,82,95,63
MXM00076658,"COLIMA, MX",5/8/00,,,83,93,68
MXM00076658,"COLIMA, MX",5/9/00,,,82,94,68
MXM00076658,"COLIMA, MX",5/10/00,,,81,,
MXM00076658,"COLIMA, MX",5/11/00,,,82,90,65
MXM00076658,"COLIMA, MX",5/12/00,,,83,,
MXM00076658,"COLIMA, MX",5/13/00,,,82,90,63
MXM00076658,"COLIMA, MX",5/14/00,,,80,,
MXM00076658,"COLIMA, MX",5/15/00,,,81,,
MXM00076658,"COLIMA, MX",5/16/00,,,85,,
MXM00076658,"COLIMA, MX",5/17/00,,,81,,
MXM00076658,"COLIMA, MX",5/18/00,,,81,93,66
MXM00076658,"COLIMA, MX",5/19/00,,,81,91,68
MXM00076658,"COLIMA, MX",5/20/00,,,79,,
MXM00076658,"COLIMA, MX",5/21/00,,,80,,
MXM00076658,"COLIMA, MX",5/22/00,,,82,,
MXM00076658,"COLIMA, MX",5/23/00,0,,80,,
MXM00076658,"COLIMA, MX",5/24/00,,,78,,
MXM00076658,"COLIMA, MX",5/25/00,,,80,,
MXM00076658,"COLIMA, MX",5/26/00,,,75,,
MXM00076658,"COLIMA, MX",5/27/00,,,73,,
MXM00076658,"COLIMA, MX",5/28/00,,,78,,
MXM00076658,"COLIMA, MX",5/29/00,,,82,,
MXM00076658,"COLIMA, MX",5/30/00,,,81,,
MXM00076658,"COLIMA, MX",5/31/00,0,,81,94,70
MXM00076658,"COLIMA, MX",6/1/00,0,,80,97,70
MXM00076658,"COLIMA, MX",6/2/00,0.03,,82,,
MXM00076658,"COLIMA, MX",6/3/00,0.02,,83,,
MXM00076658,"COLIMA, MX",6/4/00,0,,80,,
MXM00076658,"COLIMA, MX",6/5/00,,,79,,
MXM00076658,"COLIMA, MX",6/6/00,0.68,,76,,
MXM00076658,"COLIMA, MX",6/7/00,1.14,,79,90,71
MXM00076658,"COLIMA, MX",6/8/00,0.01,,78,94,71
MXM00076658,"COLIMA, MX",6/9/00,0,,82,,
MXM00076658,"COLIMA, MX",6/10/00,,,81,,
MXM00076658,"COLIMA, MX",6/11/00,0,,78,,
MXM00076658,"COLIMA, MX",6/12/00,,,78,,
MXM00076658,"COLIMA, MX",6/13/00,,,77,,
MXM00076658,"COLIMA, MX",6/14/00,0.17,,74,,
MXM00076658,"COLIMA, MX",6/15/00,0,,73,,
MXM00076658,"COLIMA, MX",6/16/00,0.18,,77,,
MXM00076658,"COLIMA, MX",6/17/00,0,,79,91,70
MXM00076658,"COLIMA, MX",6/18/00,0,,80,93,70
MXM00076658,"COLIMA, MX",6/19/00,,,78,,
MXM00076658,"COLIMA, MX",6/20/00,,,78,,
MXM00076658,"COLIMA, MX",6/21/00,,,75,,
MXM00076658,"COLIMA, MX",6/22/00,0.35,,75,,
MXM00076658,"COLIMA, MX",6/23/00,0,,77,,
MXM00076658,"COLIMA, MX",6/24/00,0,,80,91,72
MXM00076658,"COLIMA, MX",6/25/00,0,,79,94,72
MXM00076658,"COLIMA, MX",6/26/00,,,80,,
MXM00076658,"COLIMA, MX",6/27/00,0,,80,,
MXM00076658,"COLIMA, MX",6/28/00,0.63,,82,95,70
MXM00076658,"COLIMA, MX",6/29/00,0,,78,95,71
MXM00076658,"COLIMA, MX",6/30/00,0,,80,,
MXM00076658,"COLIMA, MX",7/1/00,0,,80,,
MXM00076658,"COLIMA, MX",7/2/00,0.04,,79,98,71
MXM00076658,"COLIMA, MX",7/3/00,0,,74,,
MXM00076658,"COLIMA, MX",7/4/00,,,78,85,73
MXM00076658,"COLIMA, MX",7/5/00,0,,78,,
MXM00076658,"COLIMA, MX",7/6/00,0.89,,79,94,67
MXM00076658,"COLIMA, MX",7/7/00,0,,81,,
MXM00076658,"COLIMA, MX",7/8/00,0,,83,95,72
MXM00076658,"COLIMA, MX",7/9/00,0,,80,100,72
MXM00076658,"COLIMA, MX",7/10/00,,,75,,
MXM00076658,"COLIMA, MX",7/11/00,0.65,,79,89,72
MXM00076658,"COLIMA, MX",7/12/00,1.69,,77,,
MXM00076658,"COLIMA, MX",7/13/00,0,,79,93,70
MXM00076658,"COLIMA, MX",7/14/00,,,80,92,72
MXM00076658,"COLIMA, MX",7/15/00,,,81,,
MXM00076658,"COLIMA, MX",7/16/00,0,,81,,
MXM00076658,"COLIMA, MX",7/17/00,,,75,,
MXM00076658,"COLIMA, MX",7/18/00,,,78,91,69
MXM00076658,"COLIMA, MX",7/19/00,,,76,,
