STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/13/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/14/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/15/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/16/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/17/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/18/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/19/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/20/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/21/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/22/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/23/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/24/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/25/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/26/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/27/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/28/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/29/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/30/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,3/31/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/1/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/2/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/3/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/4/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/5/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/6/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/7/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/8/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/9/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/10/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/11/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/12/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/13/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/14/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/15/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/16/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/17/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/18/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/19/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/20/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/21/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/22/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/23/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/24/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/25/90,0.69,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/26/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/27/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/28/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/29/90,0.16,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,4/30/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/1/90,0.59,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/2/90,0.01,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,5/3/90,0,",,I"
