,Unnamed: 0,year,month,day,level_3,Title,Date,Price,Price_Change,Direction,Rate_of_Change
30,30,2007,2,19,Title,"Starbucks 'will not oppose Ethiopia's efforts to obtain trademarks' Brazil 'not a threat' to NZ dairy sector, says Rabobank Risk management offers African coffee producers bright future, analysts say African gourmet coffees have huge potential, speakers say ",2/19/07,1.0966,-0.0,0,0.0
31,31,2007,2,20,Title,"Sugar, cocoa and coffee decline in London Producing coffee sustainably can increase productivity, expert says ",2/20/07,1.0838,-0.012799999999999923,0,-0.01167244209374423
32,32,2007,2,21,Title,"National promotion campaign to encourage milk consumption Milk product prices, February 21 India coffee festival seeks to boost domestic consumption ",2/21/07,1.0814,-0.0024000000000001798,0,-0.002214430706772633
33,33,2007,2,22,Title,Coffee sales help fuel 14% rise in Nestle profits High world coffee prices spur greater Ivory Coast production ,2/22/07,1.0866,0.0052000000000000934,0,0.004808581468466889
34,34,2007,2,23,Title,Record net profits for Nestlé in 2006 ,2/23/07,1.1188,0.032200000000000006,0,0.02963371986011412
35,35,2007,2,25,Title,African coffee farmers must learn to hedge Canola price drop defies new highs in soya Mixed reaction to soft commodity prices Starbucks/Ethiopia near resolution Coffee quality key to Africa's future Ivorian farmers return to coffee plantations Meagre rains may limit crop in Cameroon Drought reduces Kenyan crop ,2/25/07,1.1188,-0.0,0,0.0
36,36,2007,2,26,Title,ICO predicts higher coffee prices as Brazil production falls ,2/26/07,1.1322,0.013400000000000079,0,0.011977118341079798
37,37,2007,2,28,Title,Health focus reaps rewards for Nestlé Brazil `not a threat' to dairy sector - Rabobank ,2/28/07,1.1145,-0.01770000000000005,0,-0.015633280339162735
38,38,2007,3,2,Title,"Italian coffee maker sees bigger Brazil crop, global prices falling ",3/2/07,1.0926,-0.02190000000000003,0,-0.019650067294751036
39,39,2007,3,4,Title,US speciality coffee People and places Industry buying pushes coffee prices higher Grinding out a more profitable future Ncdex makes new coffee bid Weather Vietnam coffee pledge ICO chief warns not to raise output too much Vietnamese coffee exports soar in early 2007 ,3/4/07,1.0926,-0.0,0,0.0
40,40,2007,3,7,Title,"Milk product prices, March 7 Olam sees Australian takeover as springboard into wheat/nuts ",3/7/07,1.054,-0.03859999999999997,0,-0.03532857404356578
41,41,2007,3,8,Title,Flavoured waters likely to spearhead global CSD sales India promotes neem pesticides Brazil to open biopesticide facility: Brazil to recoup 2006 losses ,3/8/07,1.0487,-0.005300000000000082,0,-0.005028462998102545
42,42,2007,3,9,Title,Nespresso sales fuel Nestle expansion ,3/9/07,1.0508,0.0020999999999999908,0,0.0020024792600362266
43,43,2007,3,11,Title,Panama coffee blitz Mexican export demand helps canola prices People and places Brazilian coffee climb US consumers move back to daily cup of coffee Nybot plans further expansion in ag offerings Colombia tries to lift output in sustainable way ,3/11/07,1.0508,-0.0,0,0.0
44,44,2007,3,12,Title,Vinamilk seeks new share issue for expansion Turkey adopts EU criteria for Turkish coffee ,3/12/07,1.0487,-0.0020999999999999908,0,-0.0019984773505900178
45,45,2007,3,13,Title,Doncafe set to double production capacity ,3/13/07,1.0412,-0.007500000000000062,0,-0.007151711642986614
46,46,2007,3,14,Title,"Milk product prices, March 14 Starbucks plans to quadruple coffee shops, with non-US focus Nybot announces new accountability rules in key softs contracts ",3/14/07,1.0412,-0.0,0,0.0
47,47,2007,3,16,Title,Ethiopian coffee farmers still not happy with Starbucks ,3/16/07,1.0285,-0.012699999999999934,0,-0.012197464464079846
48,48,2007,3,18,Title,Santos sugar surge Kenyan coffee climb Coffee market remains under intense pressure Weather Trading briefs ICO more upbeat for global output Uganda sustains efforts to sell coffee overseas Trade disputes huge Brazilian crop ,3/18/07,1.0285,-0.0,0,0.0
49,49,2007,3,19,Title,India opts not to protect palm oil/sugar duties in WTO talks ,3/19/07,1.0288,0.00029999999999996696,0,0.00029168692270293336
50,50,2007,3,20,Title,Nestle defends coffee buying practices ,3/20/07,1.0311,0.0022999999999999687,0,0.0022356143079315404
51,51,2007,3,21,Title,"Milk product prices, March 21 ",3/21/07,1.0255,-0.005599999999999827,0,-0.005431093007467586
52,52,2007,3,22,Title,Oxfam takes on Starbucks over Ethiopia again Compensation to Jamaican coffee farmers delayed again ,3/22/07,1.0487,0.023199999999999887,0,0.022623110677718074
