STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/6/18,0.35,",,S",58,"H,,S",,,50,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/7/18,0.39,",,S",60,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/8/18,0,",,S",57,"H,,S",,,47,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/9/18,0.02,",,S",57,"H,,S",,,49,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/10/18,0.71,",,S",57,"H,,S",,,48,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/11/18,0.24,",,S",58,"H,,S",,,49,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/12/18,0.47,",,S",58,"H,,S",,,48,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/13/18,0.08,",,S",59,"H,,S",,,49,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/14/18,0.03,",,S",58,"H,,S",,,45,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/15/18,0,",,S",58,"H,,S",,,47,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/16/18,0.04,",,S",59,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/17/18,0.28,",,S",57,"H,,S",,,51,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/18/18,0.71,",,S",58,"H,,S",,,51,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/19/18,0.24,",,S",59,"H,,S",,,51,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/20/18,0,",,S",60,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/21/18,0.01,",,S",61,"H,,S",,,50,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/22/18,0,",,S",58,"H,,S",,,51,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,1/23/18,0.55,",,S",61,"H,,S",,,,
