Date,Price
2/29/08,1.5436
3/3/08,1.5245
3/4/08,1.5534
3/5/08,1.545
3/6/08,1.5276
3/7/08,1.474
3/10/08,1.4186
3/11/08,1.4153
3/12/08,1.4265
3/13/08,1.4471
3/14/08,1.4877
3/17/08,1.4426
3/18/08,1.3035
3/19/08,1.2962
3/20/08,1.2698
3/24/08,1.2698
3/25/08,1.2266
3/26/08,1.2503
3/27/08,1.2608
3/28/08,1.2527
3/31/08,1.2414
4/1/08,1.2188
4/2/08,1.2327
4/3/08,1.2376
4/4/08,1.2535
4/7/08,1.2611
4/8/08,1.2752
4/9/08,1.2746
4/10/08,1.2976
4/11/08,1.2832
4/14/08,1.263
4/15/08,1.2625
4/16/08,1.2886
4/17/08,1.2965
4/18/08,1.337
4/21/08,1.2993
4/22/08,1.2709
4/23/08,1.289
4/24/08,1.2942
4/25/08,1.2659
4/28/08,1.2549
4/29/08,1.2823
4/30/08,1.2835
5/1/08,1.291
5/2/08,1.291
5/5/08,1.291
5/6/08,1.2754
5/7/08,1.2853
5/8/08,1.2767
5/9/08,1.2928
5/12/08,1.2928
5/13/08,1.2928
5/14/08,1.3094
5/15/08,1.3095
5/16/08,1.306
5/19/08,1.3122
5/20/08,1.3036
5/21/08,1.3025
5/22/08,1.3403
5/23/08,1.307
5/27/08,1.2845
5/28/08,1.2762
5/29/08,1.2912
5/30/08,1.3957
6/2/08,1.2895
6/3/08,1.3117
6/4/08,1.2784
6/5/08,1.2832
6/6/08,1.304
6/9/08,1.304
6/10/08,1.2589
6/11/08,1.3016
6/12/08,1.2929
6/13/08,1.292
6/16/08,1.2892
6/17/08,1.3146
6/18/08,1.3288
6/19/08,1.3206
6/20/08,1.326
6/23/08,1.3644
6/24/08,1.3708
6/25/08,1.3905
6/26/08,1.4126
6/27/08,1.4375
6/30/08,1.4416
7/1/08,1.4542
7/2/08,1.4658
7/3/08,1.4675
7/7/08,1.4485
7/8/08,1.375
7/9/08,1.3488
7/10/08,1.3371
7/11/08,1.3517
7/14/08,1.359
7/15/08,1.3586
7/16/08,1.3461
7/17/08,1.3454
7/18/08,1.3288
7/21/08,1.3131
7/22/08,1.3102
7/23/08,1.3115
7/24/08,1.2944
7/25/08,1.2915
7/28/08,1.306
7/29/08,1.306
7/30/08,1.3022
7/31/08,1.3155
8/1/08,1.2915
8/4/08,1.3304
8/5/08,1.3124
8/6/08,1.3327
8/7/08,1.3347
8/8/08,1.3525
8/11/08,1.3252
8/12/08,1.32
8/13/08,1.3327
8/14/08,1.3065
8/15/08,1.3057
8/18/08,1.2869
8/19/08,1.2951
8/20/08,1.3044
8/21/08,1.3216
8/22/08,1.345
8/25/08,1.345
8/26/08,1.3365
8/27/08,1.3617
8/28/08,1.3909
8/29/08,1.3844
9/2/08,1.3726
9/3/08,1.3579
9/4/08,1.3608
9/5/08,1.3751
9/8/08,1.3619
9/9/08,1.3524
9/10/08,1.3275
9/11/08,1.3235
9/12/08,1.3029
9/15/08,1.3082
9/16/08,1.3001
9/17/08,1.2641
9/18/08,1.2559
9/19/08,1.2431
9/22/08,1.2567
9/23/08,1.2803
9/24/08,1.2837
9/25/08,1.2865
9/26/08,1.2941
9/29/08,1.2746
9/30/08,1.2546
10/1/08,1.2388
10/2/08,1.2251
10/3/08,1.1966
10/6/08,1.1658
10/7/08,1.1103
10/8/08,1.1322
10/9/08,1.1024
10/10/08,1.1194
10/13/08,1.106
10/14/08,1.1392
10/15/08,1.1544
10/16/08,1.0978
10/17/08,1.0878
10/20/08,1.1007
10/21/08,1.1006
10/22/08,1.0927
10/23/08,1.0809
10/24/08,1.0582
10/27/08,1.0373
10/28/08,1.0221
10/29/08,1.0432
10/30/08,1.079
10/31/08,1.0643
11/3/08,1.0221
11/4/08,1.0881
11/5/08,1.1191
11/6/08,1.1327
11/7/08,1.0946
11/10/08,1.0847
11/11/08,1.1
11/12/08,1.0912
11/13/08,1.0865
11/14/08,1.0764
11/17/08,1.0772
11/18/08,1.0717
11/19/08,1.0688
11/20/08,1.0827
11/21/08,1.0409
11/24/08,1.0376
11/25/08,1.0624
11/26/08,1.0677
11/28/08,1.1068
12/1/08,1.1068
12/2/08,1.0589
12/3/08,1.0515
12/4/08,1.042
12/5/08,1.0101
12/8/08,0.9823
12/9/08,1.0223
12/10/08,1.0229
12/11/08,1.038
12/12/08,1.0565
12/15/08,1.0506
12/16/08,1.05
12/17/08,1.0455
12/18/08,1.0599
12/19/08,1.0599
12/22/08,1.0409
12/23/08,1.0184
12/24/08,1.0184
12/26/08,1.0184
12/29/08,1.0184
12/30/08,1.0105
12/31/08,1.0105
1/2/09,1.0105
1/5/09,1.0105
1/6/09,1.0219
1/7/09,1.0219
1/8/09,1.0761
1/9/09,1.0697
1/12/09,1.1002
1/13/09,1.0822
1/14/09,1.0758
1/15/09,1.0793
1/16/09,1.0704
1/20/09,1.0884
1/21/09,1.0843
1/22/09,1.0843
1/23/09,1.1121
1/26/09,1.1166
1/27/09,1.1313
1/28/09,1.138
1/29/09,1.1495
1/30/09,1.146
2/2/09,1.133
2/3/09,1.1295
2/4/09,1.1263
2/5/09,1.1084
2/6/09,1.1122
2/9/09,1.1233
2/10/09,1.1411
2/11/09,1.1191
2/12/09,1.0929
2/13/09,1.0588
2/17/09,1.0618
2/18/09,1.0435
2/19/09,1.0336
2/20/09,1.0392
2/23/09,1.03
2/24/09,1.0538
2/25/09,1.0548
2/26/09,1.0548
2/27/09,1.0548
3/2/09,1.0412
3/3/09,1.011
3/4/09,1.0002
3/5/09,1.007
3/6/09,1.007
3/9/09,1.0039
3/10/09,0.9841
3/11/09,0.9818
3/12/09,0.9916
3/13/09,1.0064
3/16/09,1.0206
3/17/09,1.0241
3/18/09,1.0241
3/19/09,1.0405
3/20/09,1.0531
3/23/09,1.0618
3/24/09,1.0672
3/25/09,1.0652
3/26/09,1.0652
3/27/09,1.07
3/30/09,1.0567
3/31/09,1.0354
4/1/09,1.0704
4/2/09,1.0469
4/3/09,1.0663
4/6/09,1.0738
4/7/09,1.0675
4/8/09,1.0675
4/9/09,1.0754
4/13/09,1.0754
4/14/09,1.0754
4/15/09,1.0647
4/16/09,1.0658
4/17/09,1.0591
4/20/09,1.0385
4/21/09,1.0286
4/22/09,1.0355
4/23/09,1.0527
4/24/09,1.0716
4/27/09,1.0797
4/28/09,1.0571
4/29/09,1.0517
4/30/09,1.0522
5/1/09,1.0477
5/4/09,1.0477
5/5/09,1.0846
5/6/09,1.1221
5/7/09,1.13
5/8/09,1.132
5/11/09,1.1494
5/12/09,1.1743
5/13/09,1.1802
5/14/09,1.1606
5/15/09,1.1625
5/18/09,1.1665
5/19/09,1.1755
5/20/09,1.199
5/21/09,1.2087
5/22/09,1.2087
5/26/09,1.2307
5/27/09,1.2342
5/28/09,1.2447
5/29/09,1.2488
6/1/09,1.2549
6/2/09,1.2944
6/3/09,1.2955
6/4/09,1.2711
6/5/09,1.2636
6/8/09,1.2291
6/9/09,1.1844
6/10/09,1.2012
6/11/09,1.186
6/12/09,1.1878
6/15/09,1.1762
6/16/09,1.1164
6/17/09,1.1152
6/18/09,1.0859
6/19/09,1.0859
6/22/09,1.0806
6/23/09,1.0799
6/24/09,1.0785
6/25/09,1.087
6/26/09,1.086
6/29/09,1.086
6/30/09,1.0965
7/1/09,1.0895
7/2/09,1.0878
7/6/09,1.0709
7/7/09,1.0586
7/8/09,1.054
7/9/09,1.0429
7/10/09,1.047
7/13/09,1.0331
7/14/09,1.033
7/15/09,1.0467
7/16/09,1.0609
7/17/09,1.0505
7/20/09,1.0681
7/21/09,1.0841
7/22/09,1.0934
7/23/09,1.083
7/24/09,1.1093
7/27/09,1.1175
7/28/09,1.1175
7/29/09,1.1065
7/30/09,1.1009
7/31/09,1.1201
8/3/09,1.1377
8/4/09,1.181
8/5/09,1.1909
8/6/09,1.1941
8/7/09,1.2157
8/10/09,1.2382
8/11/09,1.2382
8/12/09,1.2358
8/13/09,1.2365
8/14/09,1.2141
8/17/09,1.1929
8/18/09,1.1619
8/19/09,1.1453
8/20/09,1.1482
8/21/09,1.1381
8/24/09,1.134
8/25/09,1.1227
8/26/09,1.1082
8/27/09,1.1198
8/28/09,1.1053
8/31/09,1.113
9/1/09,1.1084
9/2/09,1.0962
9/3/09,1.0956
9/4/09,1.0941
9/8/09,1.1182
9/9/09,1.1258
9/10/09,1.1325
9/11/09,1.1215
9/14/09,1.1464
9/15/09,1.1847
9/16/09,1.2112
9/17/09,1.2132
9/18/09,1.2237
9/21/09,1.2265
9/22/09,1.225
9/23/09,1.2355
9/24/09,1.2233
9/25/09,1.1786
9/28/09,1.1525
9/29/09,1.1487
9/30/09,1.1371
10/1/09,1.1493
10/2/09,1.1507
10/5/09,1.1661
10/6/09,1.1742
10/7/09,1.2009
10/8/09,1.2174
10/9/09,1.2502
10/12/09,1.2457
10/13/09,1.2576
10/14/09,1.2573
10/15/09,1.2675
10/16/09,1.2571
10/19/09,1.2848
10/20/09,1.2848
10/21/09,1.2925
10/22/09,1.3124
10/23/09,1.3055
10/26/09,1.3055
10/27/09,1.2518
10/28/09,1.2512
10/29/09,1.2283
10/30/09,1.2362
11/2/09,1.2369
11/3/09,1.2737
11/4/09,1.2902
11/5/09,1.2993
11/6/09,1.3084
11/9/09,1.28
11/10/09,1.2933
11/11/09,1.2445
11/12/09,1.2316
11/13/09,1.2113
11/16/09,1.2059
11/17/09,1.2059
11/18/09,1.2482
11/19/09,1.2662
11/20/09,1.2418
11/23/09,1.2331
11/24/09,1.2488
11/25/09,1.2493
11/27/09,1.2493
11/30/09,1.2651
12/1/09,1.3054
12/2/09,1.3211
12/3/09,1.3292
12/4/09,1.3383
12/7/09,1.3097
12/8/09,1.3356
12/9/09,1.3439
12/10/09,1.3276
12/11/09,1.3235
12/14/09,1.3165
12/15/09,1.3472
12/16/09,1.3604
12/17/09,1.3675
12/18/09,1.3542
12/21/09,1.3493
12/22/09,1.3614
12/23/09,1.3299
12/24/09,1.3205
12/28/09,1.3205
12/29/09,1.2816
12/30/09,1.2771
12/31/09,1.2726
1/4/10,1.2726
1/5/10,1.3135
1/6/10,1.3228
1/7/10,1.3303
1/8/10,1.3297
1/11/10,1.3592
1/12/10,1.3568
1/13/10,1.3479
1/14/10,1.3606
1/15/10,1.3575
1/19/10,1.3197
1/20/10,1.3235
1/21/10,1.3059
1/22/10,1.3061
1/25/10,1.3066
1/26/10,1.3096
1/27/10,1.2968
1/28/10,1.2677
1/29/10,1.2495
2/1/10,1.2374
2/2/10,1.2356
2/3/10,1.2525
2/4/10,1.2437
2/5/10,1.2392
2/8/10,1.2194
2/9/10,1.2228
2/10/10,1.2286
2/11/10,1.2369
2/12/10,1.2449
2/16/10,1.2578
2/17/10,1.2741
2/18/10,1.2716
2/19/10,1.289
2/22/10,1.2907
2/23/10,1.2455
2/24/10,1.2378
2/25/10,1.2396
2/26/10,1.2128
3/1/10,1.2291
3/2/10,1.2177
3/3/10,1.239
3/4/10,1.2387
3/5/10,1.2265
3/8/10,1.2243
3/9/10,1.2321
3/10/10,1.2413
3/11/10,1.2476
3/12/10,1.2558
3/15/10,1.2547
3/16/10,1.2305
3/17/10,1.245
3/18/10,1.2506
3/19/10,1.2796
