,Unnamed: 0,Unnamed: 0.1,year,month,day,level_3,Date,Price,Price_Change,Direction,Rate_of_Change,Clean_Text
34,34,34,2007,2,23,Title,2007-02-23,1.1188,0.032200000000000006,0,0.029633719860114118,record net profits nestl
35,35,35,2007,2,25,Title,2007-02-25,1.1188,-0.0,0,0.0,african coffee farmers must learn hedge canola price drop defies new highs soya mixed reaction soft commodity prices starbucks ethiopia near resolution coffee quality key africa future ivorian farmers return coffee plantations meagre rains may limit crop cameroon drought reduces kenyan crop
36,36,36,2007,2,26,Title,2007-02-26,1.1322,0.01340000000000008,0,0.011977118341079798,ico predicts higher coffee prices brazil production falls
37,37,37,2007,2,28,Title,2007-02-28,1.1145,-0.01770000000000005,0,-0.01563328033916274,health focus reaps rewards nestl brazil not threat dairy sector rabobank
38,38,38,2007,3,2,Title,2007-03-02,1.0926,-0.02190000000000003,0,-0.01965006729475104,italian coffee maker sees bigger brazil crop global prices falling
39,39,39,2007,3,4,Title,2007-03-04,1.0926,-0.0,0,0.0,us speciality coffee people places industry buying pushes coffee prices higher grinding out more profitable future ncdex makes new coffee bid weather vietnam coffee pledge ico chief warns not raise output too much vietnamese coffee exports soar early
40,40,40,2007,3,7,Title,2007-03-07,1.054,-0.03859999999999997,0,-0.035328574043565784,milk product prices march olam sees australian takeover springboard into wheat nuts
41,41,41,2007,3,8,Title,2007-03-08,1.0487,-0.005300000000000082,0,-0.005028462998102545,flavoured waters likely spearhead global csd sales india promotes neem pesticides brazil open biopesticide facility brazil recoup losses
42,42,42,2007,3,9,Title,2007-03-09,1.0508,0.0020999999999999908,0,0.0020024792600362266,nespresso sales fuel nestle expansion
43,43,43,2007,3,11,Title,2007-03-11,1.0508,-0.0,0,0.0,panama coffee blitz mexican export demand helps canola prices people places brazilian coffee climb us consumers move back daily cup coffee nybot plans further expansion ag offerings colombia tries lift output sustainable way
44,44,44,2007,3,12,Title,2007-03-12,1.0487,-0.0020999999999999908,0,-0.0019984773505900178,vinamilk seeks new share issue expansion turkey adopts eu criteria turkish coffee
45,45,45,2007,3,13,Title,2007-03-13,1.0412,-0.007500000000000062,0,-0.007151711642986614,doncafe set double production capacity
46,46,46,2007,3,14,Title,2007-03-14,1.0412,-0.0,0,0.0,milk product prices march starbucks plans quadruple coffee shops non us focus nybot announces new accountability rules key softs contracts
47,47,47,2007,3,16,Title,2007-03-16,1.0285,-0.012699999999999934,0,-0.012197464464079846,ethiopian coffee farmers still not happy starbucks
48,48,48,2007,3,18,Title,2007-03-18,1.0285,-0.0,0,0.0,santos sugar surge kenyan coffee climb coffee market remains under intense pressure weather trading briefs ico more upbeat global output uganda sustains efforts sell coffee overseas trade disputes huge brazilian crop
49,49,49,2007,3,19,Title,2007-03-19,1.0288,0.00029999999999996696,0,0.00029168692270293336,india opts not protect palm oil sugar duties wto talks
50,50,50,2007,3,20,Title,2007-03-20,1.0311,0.002299999999999969,0,0.0022356143079315404,nestle defends coffee buying practices
51,51,51,2007,3,21,Title,2007-03-21,1.0255,-0.005599999999999827,0,-0.005431093007467586,milk product prices march
52,52,52,2007,3,22,Title,2007-03-22,1.0487,0.023199999999999887,0,0.022623110677718074,oxfam takes starbucks over ethiopia again compensation jamaican coffee farmers delayed again
53,53,53,2007,3,23,Title,2007-03-23,1.0443,-0.00439999999999996,0,-0.0041956708305520745,brazilian broker closes pepper ginger deals cairo show
54,54,54,2007,3,25,Title,2007-03-25,1.0443,-0.0,0,0.0,good brazilian crop oxfam starbucks spat coffee exports climb strauss sales increase ivorian concerns push cocoa new heights ivorian coffee arrivals showers alleviate vietnam drought concerns tax claim could shut down indian coffee board cardamom costly buyers struggle between crops icco explains lower mid crop figure
