Date,Title,Price,Price_Change,Direction,Rate_of_Change,CV_Vectors,TFIDF_Vectors,Hash_Vectors
2007-02-06,Cameroon uses insecticides to fight caterpillar invasion Climate change may cause big fall in Brazil's crop output ,1.1006,-0.01629999999999998,0,-0.014593965440057284,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-07,"Milk product prices, February 7 Green Mountain Coffee Roasters to help promote Ethiopian produce ",1.0953,-0.005300000000000082,0,-0.004815555151735492,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-09,Kenya Airways begins using Utz Kapeh-cerified coffee Indonesian coffee exporters struggle to acquire good beans ,1.099,0.0037000000000000366,0,0.0033780699351776107,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-11,Dryness puts cocoa near seven-month highs Vietnam's ag exports Downpours in Brazil Vicofa will study world's top coffee exchanges MCX revives efforts to list Indian tea futures Green Mountain move Central America sure to retain coffee premiums Ivorian cocoa areas need more rain Jamaica hopes it can sustain industry's recovery Vietnam pushes out coffee exports at great speed ,1.099,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-12,Brazilians to be urged to drink more milk Alpina to distribute Meggle in Bulgaria ,1.0895,-0.009500000000000064,0,-0.008644222020018256,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-13,CBK gives more upbeat view of Kenyan coffee output ,1.0862,-0.0032999999999998586,0,-0.003028912345112307,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-14,"Milk escapes health advertising ruling Milk product prices, February 14 Milk escapes French health advertising ruling ",1.0812,-0.0050000000000001155,0,-0.004603203829865693,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-15,CBK sees climb in production Uganda lifts exports in January Record 2008 crop will cap prices weather Fine sales put coffee at lowest level in months Electronic softs trading rockets in New York Olam thrives in second quarter German dairy names Bulgarian agent Coffee export slump Colombian exports Starbucks sees future in East Africa Speaker forecasts steady increase in coffee prices Nybot announces pre-open schedule for extended electronic hours Starbucks works on relationship with East African farmers ,1.0877,0.00649999999999995,0,0.006011838697743203,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-16,Starbucks meets with press to dispute Ethiopian stories Speaker claims rise in global coffee price will be steady ,1.0966,0.00890000000000013,0,0.008182403236186568,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-19,"Starbucks 'will not oppose Ethiopia's efforts to obtain trademarks' Brazil 'not a threat' to NZ dairy sector, says Rabobank Risk management offers African coffee producers bright future, analysts say African gourmet coffees have huge potential, speakers say ",1.0966,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-20,"Sugar, cocoa and coffee decline in London Producing coffee sustainably can increase productivity, expert says ",1.0838,-0.012799999999999924,0,-0.01167244209374423,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-21,"National promotion campaign to encourage milk consumption Milk product prices, February 21 India coffee festival seeks to boost domestic consumption ",1.0814,-0.00240000000000018,0,-0.002214430706772633,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-22,Coffee sales help fuel 14% rise in Nestle profits High world coffee prices spur greater Ivory Coast production ,1.0866,0.005200000000000093,0,0.004808581468466889,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-23,Record net profits for Nestlé in 2006 ,1.1188,0.032200000000000006,0,0.029633719860114118,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-25,African coffee farmers must learn to hedge Canola price drop defies new highs in soya Mixed reaction to soft commodity prices Starbucks/Ethiopia near resolution Coffee quality key to Africa's future Ivorian farmers return to coffee plantations Meagre rains may limit crop in Cameroon Drought reduces Kenyan crop ,1.1188,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-26,ICO predicts higher coffee prices as Brazil production falls ,1.1322,0.01340000000000008,0,0.011977118341079798,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-02-28,Health focus reaps rewards for Nestlé Brazil `not a threat' to dairy sector - Rabobank ,1.1145,-0.01770000000000005,0,-0.01563328033916274,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-02,"Italian coffee maker sees bigger Brazil crop, global prices falling ",1.0926,-0.02190000000000003,0,-0.01965006729475104,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-04,US speciality coffee People and places Industry buying pushes coffee prices higher Grinding out a more profitable future Ncdex makes new coffee bid Weather Vietnam coffee pledge ICO chief warns not to raise output too much Vietnamese coffee exports soar in early 2007 ,1.0926,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-07,"Milk product prices, March 7 Olam sees Australian takeover as springboard into wheat/nuts ",1.054,-0.03859999999999997,0,-0.035328574043565784,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-08,Flavoured waters likely to spearhead global CSD sales India promotes neem pesticides Brazil to open biopesticide facility: Brazil to recoup 2006 losses ,1.0487,-0.005300000000000082,0,-0.005028462998102545,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-09,Nespresso sales fuel Nestle expansion ,1.0508,0.0020999999999999908,0,0.0020024792600362266,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-11,Panama coffee blitz Mexican export demand helps canola prices People and places Brazilian coffee climb US consumers move back to daily cup of coffee Nybot plans further expansion in ag offerings Colombia tries to lift output in sustainable way ,1.0508,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-12,Vinamilk seeks new share issue for expansion Turkey adopts EU criteria for Turkish coffee ,1.0487,-0.0020999999999999908,0,-0.0019984773505900178,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-13,Doncafe set to double production capacity ,1.0412,-0.007500000000000062,0,-0.007151711642986614,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-14,"Milk product prices, March 14 Starbucks plans to quadruple coffee shops, with non-US focus Nybot announces new accountability rules in key softs contracts ",1.0412,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-16,Ethiopian coffee farmers still not happy with Starbucks ,1.0285,-0.012699999999999934,0,-0.012197464464079846,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-18,Santos sugar surge Kenyan coffee climb Coffee market remains under intense pressure Weather Trading briefs ICO more upbeat for global output Uganda sustains efforts to sell coffee overseas Trade disputes huge Brazilian crop ,1.0285,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-19,India opts not to protect palm oil/sugar duties in WTO talks ,1.0288,0.00029999999999996696,0,0.00029168692270293336,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-20,Nestle defends coffee buying practices ,1.0311,0.002299999999999969,0,0.0022356143079315404,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-21,"Milk product prices, March 21 ",1.0255,-0.005599999999999827,0,-0.005431093007467586,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-22,Oxfam takes on Starbucks over Ethiopia again Compensation to Jamaican coffee farmers delayed again ,1.0487,0.023199999999999887,0,0.022623110677718074,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-23,Brazilian broker closes pepper/ginger deals at Cairo show ,1.0443,-0.00439999999999996,0,-0.0041956708305520745,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-25,Good Brazilian crop Oxfam/Starbucks spat Coffee exports climb Strauss sales increase Ivorian concerns push cocoa to new heights Ivorian coffee arrivals Showers alleviate Vietnam's drought concerns Tax claim could shut down Indian Coffee Board Cardamom costly as buyers struggle between crops ICCO explains lower mid-crop figure ,1.0443,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-26,Vietnam's coffee exports increase in March ,1.0647,0.02039999999999997,0,0.019534616489514482,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-27,Wilting disease hits Tanzania coffee trees Heads of Brazil/Italy meet to discuss biofuel projects ,1.0714,0.006699999999999928,0,0.006292852446698533,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-28,"Milk product prices, March 28 Nestlé and Coke remodel BPW agreement Rabobank to extend research operations in Malaysia ",1.0638,-0.00759999999999983,0,-0.007093522493933012,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-29,"Quality of Ivorian cocoa beans has improved, officials say Nestle and Coca-Cola agree over tea and coffee venture ",1.0590000000000002,-0.004799999999999915,0,-0.004512126339537428,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-03-30,Indian coffee exports slide by 45% Vietnam coffee industry aims to improve export efficiency ,1.0452,-0.013800000000000257,0,-0.01303116147308806,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-01,Poor Brazilian prospects keep coffee strong weather Trading briefs People and places Starbucks hits back after new ad campaign Dry weather may slash Vietnam's coming crop Kenya's direct export system fails to take off Ivory Coast improves bean quality ,1.0452,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-02,"Tata Coffee opens new freeze-dried coffee plant in India Quality of Vietnam coffee still low, officials admit ",1.0275,-0.017699999999999827,0,-0.016934557979333936,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-03,"Indian coffee export permits rise by 26% this year Traders warn civet deaths could cause a coffee catastrophe Brazilian port increases exports of sugar, coffee and soya ",1.0282,0.0006999999999999228,0,0.000681265206812577,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-04,"Cappuccino-flavoured cheese not everybody's cup of tea Schwälbchen cuts costs, increases profit Milk product prices, April 4 Honduran coffee exports increase in March ",1.0368,0.008599999999999941,0,0.00836413149192758,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-05,"Ivorian robusta crop may beat initial forecasts Uganda grows arabica coffee trees resistant to wilt disease Brazil needs rain before coffee harvest, experts say San Pedro port sees marginal rise in cocoa arrivals ",1.0412,0.00439999999999996,0,0.004243827160493788,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-08,Tata Coffee expansion Nybot sees rise in its March trading volume People and places Fall in maize price leads Cbot soyabeans lower Honduras ups exports Ivorian coffee arrivals Coffee Board of India signs more export permits Vietnam focuses on quality issue Killing of civets a catastrophe ,1.0412,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-10,Robusta prices set to increase over Vietnam harvest Brazil's coffee exports in March rise by 13% ,1.0299,-0.011299999999999866,0,-0.010852862082212705,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-11,"Milk product prices, April 11 Indian coffee prices set to drop say traders ",1.034,0.0040999999999999925,0,0.003980969026119033,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-12,"Kenya will raise macadamia yields via better husbandry Nestle makes $5.5bn purchase to expand nutrition unit Vietnam coffee prices to remain high as reserves dry up Global warming threatens world coffee production, analysts say ",1.0292,-0.004800000000000138,0,-0.004642166344294137,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-13,Ivorian coffee arrivals up in opening months of 2007 UK soft drinks market turns to 'healthy' products Indonesian coffee exports to drop 65% in 2007 ,1.0536,0.0244000000000002,0,0.023707734162456476,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-15,Soyabean price fall undermines rival markets Global warming fear weather Trading briefs Coffee exports climb Rain heralds big coffee crop in El Salvador Vietnam awaits higher prices on London market Rain needed for Brazil's robusta ,1.0536,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-16,"Brazilian coffee crop to fall 22% this season, exporter predicts Colombia's coffee exports and production on the rise Panama growers seek to increase speciality coffee exports ",1.061,0.007399999999999851,0,0.007023538344722713,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-17,"Ugandan coffee exports on the rise, say UCDA ",1.0257,-0.03529999999999989,0,-0.03327049952874636,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-18,"Milk product prices, April 18 Nicaraguan coffee exports set to slump, officials say ",1.0333,0.007600000000000051,0,0.007409573949497953,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-19,"UK soft drinks market turns healthier Jamaica coffee sector to be privatised as production increases Bearish coffee prices no cause for concern, say ICO ",1.0324,-0.0009000000000001228,0,-0.0008709958385755567,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-20,"Rwandan coffee production lower in 2007, forecasts suggest ",1.0293,-0.003099999999999881,0,-0.0030027121270824104,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-22,Coffee exports climb Sugar prices cave under weight of high output Termites back in PNG Coffee privatisation ICO at ease with dipping global coffee pricing Rainfall allows SA maize costs to fall back Indonesia warns that coffee exports may crash Tea Board of Kenya steps up efforts to control global market New prognosis for Brazil's smaller coffee crop ,1.0293,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-23,Nestlé announces sales growth of over 7% Vietnamese coffee exports to US rise sharply Brazil's official coffee forecast confirms sharp drop in production India details likely duty cuts on spices/softs under Asean deal ,1.0182,-0.01110000000000011,0,-0.010784027980180813,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-24,Nestlé sells out to Vietnamese newcomer Zambia's coffee output declines due to drought and low prices ,1.0126,-0.005600000000000049,0,-0.0054999017874681295,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-25,"Milk product prices, April 25 Vietnam coffee exports continue to soar says government California coffee company increases income after streamlining ",0.9945,-0.01809999999999989,0,-0.017874777799723383,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-26,New cotton pest in Brazil: Tanzania aims to replace aging coffee trees in Kilimanjaro area ,0.9863,-0.008200000000000096,0,-0.008245349421820106,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-04-29,Eco-friendly coffee WCE canola prices helped by gains in Europe Weather people and places Rwanda on course for lower coffee production ElSalvador fears coffee industry is doomed Vietnam ships bigger amount of coffee in 2006/07 Ivory Coast sees 30% fall in crop Jamaica puts its faith in process of privatisation ,0.9863,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-05-01,Brazil records higher monthly green coffee exports ,0.9868,0.000500000000000056,0,0.0005069451485349854,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-05-02,"World dairy product prices, May 2 ",0.9868,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-05-03,Starbucks and Ethiopia make another agreement on coffee CFC estimates 70% of world population relies on commodities ,0.9833,-0.0035000000000000586,0,-0.003546817997567956,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-05-06,Better West African outlook hits cocoa price Starbucks and Ethiopia settle trademark dispute Dry weather will benefit Brazil's coffee harvest ,0.9833,-0.0,0,0.0,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-05-08,Starbucks aims to improve Ugandan coffee sector ,0.9926,0.009300000000000086,0,0.009457947727041685,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2007-05-09,"Milk product prices, May 9 Brazilian coffee exports on the rise according to industry council ",0.9921,-0.000500000000000056,0,-0.0005037275841225629,[0 0 0 ... 0 0 0],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
